sentence,article,biased_words4,topic_abortion,topic_coronavirus,topic_elections-2020,topic_environment,topic_gender,topic_gun-control,topic_immigration,topic_international-politics-and-world-news,topic_middle-class,topic_sport,topic_student-debt,topic_trump-presidency,topic_vaccines,topic_white-nationalism,outlet_alternet,outlet_breitbart,outlet_federalist,outlet_fox-news,outlet_huffpost,outlet_msnbc,outlet_reuters,outlet_usa-today,type_center,type_left,type_right,Label_bias_Biased,Label_bias_No agreement,Label_bias_Non-biased
"[   1  247 1830 1535  145  647 1831  912  267  153  328    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1774 1775 ...    0    0    0],[   1 1830    0    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1  792 1477  742 1047 1899    4 1043 2003  180 2004 1315 1247 2001
 2002  726 2005 1033 1340  202  742  408    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  792 1477 ...    0    0    0],[  1 742   0   0   0   0   0   0   0   0   0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1 2055 2056 2057  198 1206 1110 2058  145  499  363 2060 2069  481
  486 2059  489 1387  667  162 1695  205 1175 1496  481 2060  180  138
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2054 2055 ...    0    0    0],[   1 2059    0    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
"[   1 2203  208  342 2149 2237 2239  831  564 2240 2241 2242 1156  203
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[  1 203 434 ...   0   0   0],[   1 2239    0    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1 2260  628 2261  815 2262 1319 2263 2264 2265  676   50  189  157
  607  723  584 1926 2266   87 2267 2268  157 2269 2270 1246 2264  977
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  869 2257 ...    0    0    0],[1 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1  130  910   17  317  900  271   11 1060  147 3880 5188 1229  846
 3272    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1512 1120 ...    0    0    0],[   1 3880    0    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1  162  489   88  184 2164 1251 2377  732   50   14  399  230 1138
 2378 2089  980 2379  145  499  853 2313    4  732 2380  669  501 2381
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2372 2373 ...    0    0    0],[1 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"[   1  777  127 1690  178  814  475  379  142  537  558  179  701 2499
 2500   68 1867 2469  106  343 1895  718 2501 2502 1232 2503 2504 2505
 1247 2506  644 2507 1171   91  558  179 2508   71 1867 2469 2509 2510
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2464 2465 ...    0    0    0],[1 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1 2530 2531 2532 2533 1496  157 2534  375  742  408 1488  977 2535
 2043  450   10    4  742 1579 2536    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  147 2528 ...    0    0    0],[   1  742 1579 2536    0    0    0    0    0    0    0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1 2604 2605 2607 3019  140 3453 2608 2609  132 1775    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1522 2453 ...    0    0    0],[   1 2609 2607 2608    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1 2621 2622   67 2623 2624 2625 2626  470 2627 2367 2628 1769 2629
  253   92    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2621 2622 ...    0    0    0],[1 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1 2711  205  157 2712  401  403 2704  710  764 2714 2715 1064  669
   51  658  128 2716 2710 2717 2718   78  974    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[  1 220  93 ...   0   0   0],[1 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"[   1 2743 2113 2744  644 1188 1203 2069 2745 1205  452  484  485 2087
  506  489 2746 1373  482  675   50  189  254 1778 2747  453   42 2748
  452   88   78    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2743 2113 ...    0    0    0],[   1 2748 1188 1203    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[   1 2791  301 2792 2793 2794  894 2795 2796  301 2797 2798 1634    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2791  301 ...    0    0    0],[   1 2796 2795    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[   1 1293 1246 2972  322  217  145  896  187  171  303  157 1602 2973
  864    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  248 2943 ...    0    0    0],[   1 2972  896    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1 3062  522 1719 1094  247  864 3063  742 1488 1082   51  202 2032
  742 1378 3064 3065 1572 1610 1313  162  771 3066    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  908 3062 ...    0    0    0],[   1 3063  742    0    0    0    0    0    0    0    0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"[   1 1043 1861 3185  742 1674 3133   70 3186 1397  814  584  655 2443
  350    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2344  742 ...    0    0    0],[   1 3185 3186 1397    0    0    0    0    0    0    0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[   1  154  144  145 3192  330 1649  157 3193 3194 2222  533  330 2459
  154 3195 3196  154    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[  1 154 144 ...   0   0   0],[   1 3192    0    0    0    0    0    0    0    0    0],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"[   1 3196 1920  377  145  976   42 1201 2043 1205 1043   63 3227  987
 1107  764 3228 1970 1631 2043 2525 3229 3230 3231    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1603  908 ...    0    0    0],[  1 377   0   0   0   0   0   0   0   0   0],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"[   1 2568  961 1248  311  311  153 2195  405  565 1228  379 1608  147
 3299 2727  621  480    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1480 3262 ...    0    0    0],[  1 311   0   0   0   0   0   0   0   0   0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1 1889  950  655 3304 3305 2723 3306  950 3307  349 1250 1240  675
 3308    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1889  950 ...    0    0    0],[   1 1250    0    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1 2072  202   68 1120 1193 1936 1225  342 1205  447 1896 1129 3343
 1254   27 1957 3344 1180  341 2249    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2072  202 ...    0    0    0],[   1 3343 1180    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[   1 3409  950  246 1824 1120  109  678 2242  211 1028 3410  999  523
  796  375 3411 3412  191 1486  447 3413  683    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 3408  908 ...    0    0    0],[  1 999   0   0   0   0   0   0   0   0   0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"[   1 2367  489  138 1955  489 2317   80  429 3136  627  628  175 2164
  567  644  488 2631  481 3490  563  764 2916    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[  1 908 628 ...   0   0   0],[   1 3136  627  628    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"[   1 3498 2069 3499  489 1530 3500  764 1263 3243  192 3501 1251 2069
 1501 2781 1699   29  128 3502  951  791 2754 3503    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  147 2528 ...    0    0    0],[   1 2754    0    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1 1534 1649 3554 3555 1843  317   47   48  330  154  149  150  565
 2293 3285 1225 1228    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1534 1649 ...    0    0    0],[1 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1  145 2908  896  157 3635   70 3686 1674   70  475 3687 3688  378
   17 1111  858 3689   25 1111   54 3190    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  127 1222 ...    0    0    0],[   1 3635  896 3687    0    0    0    0    0    0    0],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1   59  304 2472   83  584 3764  248 1114 3765 3766  373 1658  476
  599  618  794 3767 3768 1472 1326  128 3769  206 3770 3771    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1774  908 ...    0    0    0],[1 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"[   1 3859 3860 1977   70 1972  977 3861  839  818    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[  1 154 338 ...   0   0   0],[   1 3860 3859    0    0    0    0    0    0    0    0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[   1  145  499  363  983  558  179 1025   11 3920  584 3921  349    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 1488 3911 ...    0    0    0],[  1 983   0   0   0   0   0   0   0   0   0],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1  936 2973  864 3810  643 2269  127 3940 3941  355 1955  377 1993
 2311   60 2224  950 1178    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1  936 2973 ...    0    0    0],[   1 3941    0    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"[   1  485  378 1768  603  373  153 4233  685  145 1509  457   25  271
  529 1782 1183  818 4234  743  452  453    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 4208 4209 ...    0    0    0],[   1 4234  743    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"[   1 2113 2711  635 1509  462  612  558 2191   27  993  447  977 2711
 4239 2430 1213    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 2113 2711 ...    0    0    0],[   1  558 2191  612    0    0    0    0    0    0    0],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[   1 4274  128  379  792 1477  375  685  240 1397 1494 1018 2987  726
 1487  715   25 3437 4292 1488  408    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[  1 476 341 ...   0   0   0],[   1  685 1397    0    0    0    0    0    0    0    0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[   1  742 1630 1689  866 4323  886  742 2970    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[  1 759 178 ...   0   0   0],[   1 4323 1630    0    0    0    0    0    0    0    0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"[   1 4405 4406  843 1808 4407  178 4232 4354  128 4411 4412 2567 2895
 4430   25   11  687    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]",[   1 4402 1140 ...    0    0    0],[   1 2895 4430    0    0    0    0    0    0    0    0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
